Location,Burrito,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes,Lat,Lng
Matador Mexican Food,Carnitas,Morena,5201 Linda Vista Rd,https://www.yelp.com/biz/matador-mexican-grill-san-diego-2,4.5,4,X,6.6,3.2,1.4,3.7,3,3.2,4.8,2.4,3,2.9,3,3,Scott,,32.7653159,-117.1963665
Matador Mexican Food,Carne asada,,,,,,,6.6,4,4,3.5,3.5,3.5,4,3,3.5,3.5,4.5,3,Brent,Salsa too spicy,32.7653159,-117.1963665
Jose's Taco,California,Oceanside,3910 Vista Way,https://www.yelp.com/biz/joses-taco-oceanside,4,3.8,,6.1,4,3.5,3.5,2,3.5,4.5,3.5,3,3.5,4,3.3,Scott ,,33.184526,-117.2934667
Cortez Mexican Food,California ,Bonsall,5517 Mission Rd,https://www.yelp.com/biz/cortez-mexican-food-bonsall,4.2,4,,6.25,4,3.5,4,2.5,3,1.5,2.5,2.5,2.8,5,3.2,Scott ,,33.290914,-117.2259519
California Burrito Company,Dave's California,Miramar,6912 Miramar Rd,https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,4.4,,6.5,4,3,2.5,2.5,3,4,3.5,2.5,3,5,3.3,Scott,The burrito looked beautiful when it came out. Chicken didn't add anything. would probably get the regular,32.8788215,-117.1668915
California Burrito Company,California,,,,,,,5.5,4,3.5,5,3,3,3.5,3.5,2,4,5,3.5,Devleena,,32.8788215,-117.1668915
California Burrito Company,California,,,,,,,5.5,2,3,5,3,4,2,2,2,4.5,4,3.5,Sankha G,,32.8788215,-117.1668915
Taco Villa,Chicken and rice,,,,,,,4.95,3,3.5,5,4,4,3.78,5,,4.7,5,4.2,Sage,chicken and rice burrito. simple and delicious. ,32.8788215,-117.1668915
Taco Villa,California ,,,,,,,6.99,3.5,3,3,3,3,3.7,3.5,3.8,3,5,3.5,Scott,Pretty decent,32.8788215,-117.1668915
Storehouse Kitchen ,Breakfast,La  Jolla village,,,,,,,3.5,4,5,4.5,4.2,4.7,4.4,4,4.9,5,4.6,Sage,one if the best breakfast burritos I've ever had,32.8788215,-117.1668915
California Burrito Company,Fajitas ,,,,,,,6.5,3,3,4.5,3.5,1.5,1.5,2,3.2,2,4.5,2.2,Scott,Peppers not cooked enough,32.8788215,-117.1668915
California Burrito Company,California ,,,,,,,5.5,3,3,4,4.5,3,2,4,4.5,3.5,4.5,3.5,Ricardo,Very plain burrito,32.8788215,-117.1668915
Taco Villa,Breakfast,,,,,,,4.99,4,4.5,5,3,3,3,2.5,0,2.5,5,3,Sage,pretty standard breakfast burrito. eggs and cheese. great tortilla! morning protein!,32.8788215,-117.1668915
California Burritos,California Everything,,,,,,,6.95,4,4,2,4,3,4,5,3,3,4,4,Elynn,,32.8788215,-117.1668915
California Burritos,Surf & Turf,,,,,,,7,4,3,3,3.5,4,4,3,3,4,3.5,5,Hannah,,32.8788215,-117.1668915
Taco Villa,Carnitas,,,,,,,5.95,3,4,3,4,3,4,2,3.5,3,5,3.9,Scott,,32.8788215,-117.1668915
Taco Villa,Tejano,,,,,,,6.99,3.5,2,5,4.2,3,4.7,5,3.7,4.2,5,4,Sage,,32.8788215,-117.1668915
Taco Villa,Al pastor,,,,,,,,4.5,3,4,4,4,4,4,4,4,3,4,Marc,,32.8788215,-117.1668915
Taco Villa,Shrimp with guac,,,,,,,,2,2,4,3,4,4,4,3,4,4,3,Jeremy,,32.8788215,-117.1668915
Taco Villa,Bean & cheese,,,,,,,,3,5,5,,3,2,2,,1,5,2,Shijia,,32.8788215,-117.1668915
Taco Stand Encinitas,California ,Encinitas ,642 S Coast Hwy 101,https://www.yelp.com/biz/the-taco-stand-encinitas,4,4.4,,7.49,4,2,3.5,4.2,4.3,4,2.2,4.5,4,2.2,4.2,Scott,Much better than the first time we tried this location ,33.0440809,-117.293903
Taco Stand Encinitas,California ,,,,,,,7.49,2,3.8,3.8,4,4.2,3.75,4,4.75,4.4,3.8,4.2,Emily,Possibly favorite green salsa so far,33.0440809,-117.293903
Donato's Taco Shop,Al pastor ,,,,,,,5.99,4,3,4.5,3.7,2.8,5,4.5,3,2.3,4.5,3,Scott,,33.0440809,-117.293903
Donato's Taco Shop,Carne asada,,,,,,,5.99,2,2,4,4.5,4,4,3,4,4,2,4,Elynn,,33.0440809,-117.293903
Ortiz's Taco Shop #2,California,Pacific Beach,1313 Garnet Ave,https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2,4,4.2,,6.39,4,4,4,4,4,4.5,4.5,4.2,4.5,4.5,4.25,Scott,,32.7983334,-117.2458182
Ortiz's Taco Shop #2,California chicken,,,,,,,6.39,4.25,2,4,3.7,2,4,4.5,4.5,2.7,5,2.66,Sage,,32.7983334,-117.2458182
Ortiz's Taco Shop #2,California,,,,,,,6.39,4.5,3,4.4,4,4,4.5,4.2,4.3,4,5,4.2,Shijia,,32.7983334,-117.2458182
Ortiz's Taco Shop #2,California,,,,,,,6.39,4.75,2,,3.5,3,5,4,2,3.5,3.5,3.5,Jeremy,,32.7983334,-117.2458182
El Portal Fresh Mexican Grill,Mahi,Clairemont,4101 Genesee Ave,https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,4,4.4,X,7.35,2.3,4,4,3.5,2,1.5,2,2,3,1.2,3.1,Scott,,32.8175541,-117.1806305
El Portal Fresh Mexican Grill,Carnitas,,,,,,,6.7,3.75,3.5,4,4,3,3.75,4,3,3.5,4.5,3.75,Emily,,32.8175541,-117.1806305
El Zarape,California,,,,,,,6.25,4,2.5,4,3.75,4,3.75,5,4,4,5,3.9,Scott,,32.8175541,-117.1806305
El Zarape,California,,,,,,,6.25,4,3,,4,4,4,4,2,3,5,4,Ant,,32.8175541,-117.1806305
El Zarape,California,,,,,,,6.25,3,4,4,2,2,4,3,3,3,5,3,Erik,,32.8175541,-117.1806305
El Zarape,Carne asada supreme,,,,,,,6.25,4,4,4,,3.5,3.5,4,4,4,4,4,Tom,,32.8175541,-117.1806305
Famoso Mexican Street Food,Cali Diablo,Downtown,815 C St,https://www.yelp.com/biz/famoso-mexican-street-food-san-diego-20,4.5,3.9,,10.5,3,2,2.5,3.3,3.5,1.5,4,2.5,2.5,3,3.1,Scott,Big roach on the floor while eating. Good prep took quite a long time. Cut in half!,32.7166296,-117.1571556
Valentines Mexican Food,Carne asada,,,,,,,6.75,3,4.5,4.7,4.5,3.5,4,4.5,4.5,3.5,5,4.2,Scott,,32.7166296,-117.1571556
Valentines Mexican Food,Pork california,,,,,,,7.9,4,5,5,4,5,5,3,4,5,3,5,Justin K,,32.7166296,-117.1571556
Valentines Mexican Food,California,,,,,,,7.9,4,3,5,5,4,5,4,3,5,2,4.5,Shreejoy,,32.7166296,-117.1571556
Valentines Mexican Food,California,,,,,,,7.9,4,4,4,3,4,4,4,3,3,4,4,@synapticlee,,32.7166296,-117.1571556
Valentines Mexican Food,California,,,,,,,7.9,3.5,4,3.5,4.7,4,4.5,4.5,4.5,4,3.5,4.7,@danjlurie,,32.7166296,-117.1571556
Cancun Mexican & Seafood,California ,,,,,,,6.99,4.3,4.8,5,4,4.4,5,4,4.3,4.3,5,4.5,Scott,Sour cream is surprisingly good. Avocado salsa works very well on the burrito,32.7166296,-117.1571556
Cancun Mexican & Seafood,California ,,,,,,,6.99,4,4.5,4.5,4,4.5,4,4,3.5,4.5,5,4.5,Emily,,32.7166296,-117.1571556
Los Panchos Taco Shop,California,Hillcrest,409 Washington St,https://www.yelp.com/biz/los-panchos-san-diego-2,3,3.4,x,6.25,3,3.5,5,4,3,4,3,3.5,3.5,3,3.7,Scott,,32.7496735,-117.1612401
Los Panchos Taco Shop,Bitchin California,,,,,,,7.25,4,4,4,5,4.5,4,3.5,5,4.5,5,4.4,Richard,,32.7496735,-117.1612401
Los Panchos Taco Shop,Tijuana,,,,,,,7,3.5,4,4,3.5,4,4,3.5,4.5,4,3.5,3.7,Tom,,32.7496735,-117.1612401
Pollos Maria,Combo chicken,,,,,,,6.99,3.5,3.5,2.5,4,3.5,3,2.5,2.5,4.5,0.5,3.8,Scott,Started off really great but ended with poor uniformity and wrap integrity,32.7496735,-117.1612401
Pollos Maria,Carne asada,,,,,,,6.49,3,3.5,4,3,4,3.5,4,3,4,4.5,3.5,Emily,Just way too small,32.7496735,-117.1612401
El Pollo Loco,Chicken avocado,Oceanside,3500 College Blvd,https://www.yelp.com/biz/el-pollo-loco-oceanside-5,3.5,4.1,,5.99,3.5,2,3,3.8,2.5,2.5,3,2.5,3,2.6,3.2,Scott,,32.7442939,-117.0546585
Gloria's Taco Shop,California ,South Park,1233 28th St,https://www.yelp.com/biz/glorias-taco-shop-san-diego,4,4.3,,5.65,3,4,1.5,2,3,4.2,4,3,2,4.5,2.7,Scott,Horchata tasted like bubble gum,32.7186247,-117.1336562
Gloria's Taco Shop,Cabeza,,,,,,,5.49,3,4.5,5,2,2,2.5,3.5,3,2.5,3,2,Richard,Meat is squishy,32.7186247,-117.1336562
Mr. Ruribertos Taco Shop ,California,Mission Beach,3202 Mission Blvd,https://www.yelp.com/biz/ruribertos-taco-shop-san-diego,3.5,3.7,,7.75,4,3.5,2.5,3,3.3,1.4,2.3,2.2,3.3,4.5,2.9,Scott,,32.7721947,-117.2514332
Mr. Ruribertos Taco Shop ,Carne asada,,,,,,,7.75,4,4,4.5,2,2,3.5,3.5,2,2,4,3,Brent,"Carrots are bad, got better as it went on",32.7721947,-117.2514332
Mister Falafel,Chicken Shawarma,Clairemont,4461 Clairemont Mesa Blvd,https://www.yelp.com/biz/mister-falafel-san-diego,4.5,4.6,,6.99,3.7,3.6,4,4,3,3.8,4.3,,3.8,2,3.5,Scott,Richard recommended this. Like a Mediterranean burrito,32.8340519,-117.1956122
Rigoberto's Taco Shop,California,,,,,,,6.6,,4,4.5,4,3.5,3.5,5,1.5,3.5,4.5,3.7,Scott,Usually better. Too much enchilada sauce this time,32.8340519,-117.1956122
Rigoberto's Taco Shop,Chile Relleno,,,,,,,6.6,,4,2,,4,,4.6,4.2,3.75,5,3.9,Sage,Orange salsa very spicy,32.8340519,-117.1956122
Los Tacos,Fusion,,,,,,,8.5,3.9,3,4.5,4.1,3,3.7,4,4.3,4.2,5,3.9,Scott,Fresca and verde salsas are the best,32.8340519,-117.1956122
Los Tacos,Local,,,,,,,7.9,4,3.5,4,4,3,4,4.5,4,3.8,4.8,3.8,Emily,Pastor is dry,32.8340519,-117.1956122
Taco Villa,Chicken,,,,,,,4.99,3.5,2.5,4.5,3,2.5,3,3,2,2,4,3,Scott,Somehow way better when it was leftover,32.8340519,-117.1956122
Lupe's Taco Shop,Hot cheetos,Linda Vista,7621 Linda Vista Rd,https://www.yelp.com/biz/lupes-taco-shop-san-diego,3.5,4.5,x,7.29,3.5,3,2,3.5,3.5,3,2.5,3.7,3.2,4.2,3.7,Scott,"Cheese is cold, but guac, salsa, and chips are good",32.8014966,-117.1571964
Lupe's Taco Shop,Surfin California,,,,,,,7.89,3,4,5,4.5,4,4.5,3.5,3,4.5,2.5,4.25,Richard,quality ingredients,32.8014966,-117.1571964
Lupe's Taco Shop,California,,,,,,,7.49,3.7,4,3.5,3.9,4,3.7,2,3.5,4,4,3.9,Tom,tons of french fries,32.8014966,-117.1571964
Lupe's Taco Shop,Spicy a la Diabla,,,,,,,7.49,5,4,4,4,2,3,0,,1,2,2,Rob L,way too spicy,32.8014966,-117.1571964
Los Tacos,Local,,,,,,,7.9,3.5,4.5,5,4,3.5,4,2.8,4,4.5,3.7,4.2,Scott,,32.8014966,-117.1571964
Los Tacos,Local,,,,,,,7.9,2,4.2,4,4.2,3.8,4,3,3.8,4.5,5,4.2,Emily,,32.8014966,-117.1571964
Taco Villa,Pollo asado,,,,,,,5.99,4.5,2,4,2.5,3.5,4.5,3,2,1.5,3.4,3.1,Scott,,32.8014966,-117.1571964
Taco Villa,Al pastor,,,,,,,6.99,3.5,2.5,4.5,4,4,2,3,3,3,4,3,Ricardo ,,32.8014966,-117.1571964
Rigoberto's Taco Shop La Jolla,California,,,,,,,6.85,3.5,3,2,3.5,3.5,4,3,3.5,3.5,4.5,3.6,Scott,,32.8014966,-117.1571964
Rigoberto's Taco Shop La Jolla,California,,,,,,,6.85,4,5,5,4.5,4,5,4,4,5,5,4.3,Nihal,,32.8014966,-117.1571964
Taco Villa,California,,,,,,,,4.3,3,3,3.5,4,3,1.5,3.8,4,5,4,Scott,Salsa much better this time than before,32.8014966,-117.1571964
Cotixan,California,Clairemont,4370 Genessee Ave,https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego,4,4,,7.19,4.5,4,2,3,3.8,3.5,2,4,4,4,3.5,Scott,,32.8229419,-117.184444
Los Tacos,Local,,,,,,,7.9,2.5,3,4.5,4.3,4,3,3.1,3.9,4.2,3,4.1,Scott,,32.8229419,-117.184444
Los Tacos,Local,,,,,,,7.9,3,3,3.5,4.5,4,4,4,4,4,3.5,4,Emily,,32.8229419,-117.184444
Los Tacos,Local,,,,,,,7.9,3,5,5,5,4,5,4,4,5,4,5,Audrey L,,32.8229419,-117.184444
Los Tacos,Local,,,,,,,7.9,3,3.5,4,4,4,4.5,3.5,4,3.5,4,4,Spencer,,32.8229419,-117.184444
Lourdes,Carnitas,Encinitas,2113 San Elijo Ave,https://www.yelp.com/biz/lourdes-encinitas-2,4,4.7,,7.35,3.5,3.5,3,3.5,3,4.5,4.5,4,4,5,3.75,Emily,,33.0209368,-117.2821532
Lourdes,California,,,,,,,6.35,3.5,4,3,3,3,2.5,3,3.5,2.8,5,3.1,Scott,,33.0209368,-117.2821532
Vallarta Express,California,,,,,,,7.5,4,3,,4,4,3,5,3,4,5,4.1,Erik,,33.0209368,-117.2821532
California burritos,California everything,,,,,,,6.5,4.5,4.5,3,3.5,4.5,3.5,4,3.5,4.3,4.3,4.1,Scott,,33.0209368,-117.2821532
California burritos,California everything,,,,,,,6.5,4,4,3.5,4.5,4,3.5,4.5,4,4,4.5,4,Ricardo,,33.0209368,-117.2821532
California burritos,California everything mini,,,,,,,4.75,4,4,4,4.5,4.3,4.5,4.5,4.8,4.8,5,4.5,Luis,,33.0209368,-117.2821532
California burritos,Surf & Turf,,,,,,,6.75,4,4,4,4,3.5,3.5,3,2,3.5,3.5,3.5,Hannah,,33.0209368,-117.2821532
California burritos,California everything,,,,,,,6.5,4,3,3,4,4,4,4,3,4,4,4,Clark,,33.0209368,-117.2821532
California burritos,Surf & Turf,,,,,,,6.75,4,3,5,5,,,5,,4,5,4.5,Justin C,,33.0209368,-117.2821532
Los palmitos,California,Clairemont,5145 Clairemont Mesa Blvd,https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego,4,4.1,x,7.1,4,4.5,5,3.8,3.8,4,4,3.9,4.3,5,4.3,Scott,red-orange salsa has a slight fruity flavor that's really good,32.8340905,-117.1796656
Los palmitos,Surf & Turf,,,,,,,8.25,3.5,3.5,4,4,3,3.5,4.5,3.5,3.5,5,3.6,Emily,Rice was plain. Also don't like rice in burrito,32.8340905,-117.1796656
Taco Villa,Carnitas,,,,,,,5.99,4,2,4.5,4.5,3,3.8,4.4,2.5,3.5,3,4,Scott,,32.8340905,-117.1796656
Taco Villa,Carnitas,,,,,,,5.99,4,4,4,4,3,4,3.5,2.5,3.5,5,3.5,Richard,,32.8340905,-117.1796656
Lupe's Taco Shop,TGunz,,,,,,,10,3,3,4,3.2,3.5,1.8,1.8,3.5,3.7,3.5,3.9,Scott,,32.8340905,-117.1796656
Lupe's Taco Shop,TGunz,,,,,,,10,4.2,3,4.5,3.5,3.5,2.5,2,3,3.5,4.5,3.5,Ricardo,,32.8340905,-117.1796656
Filiberto's,Adobada,Encinitas,476 S Coast Hwy 101,https://www.yelp.com/biz/filibertos-encinitas-2,3,3.8,,6.25,4.4,4.2,4.5,4,3,5,3.8,2.5,3,5,3.7,Scott,,33.046304,-117.2941326
Filiberto's,California,,,,,,,6.25,3,4.5,4.5,3.7,3.5,4,3.5,3,4,4.5,4,Emily,,33.046304,-117.2941326
Don Carlos Taco Shop,California,La Jolla,737 Pearl St,https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla,4,4.5,,7.75,5,3.5,4.2,3.3,3.7,4,4,2.9,3,5,3.7,Scott ,,32.8396989,-117.2752812
Don Carlos Taco Shop,California,,,,,,,7.75,2.5,4,4,2.6,3.6,4,4,3.6,4,4,2.9,Luis,,32.8396989,-117.2752812
Los Tacos 2,Al pastor tradicional ,Oceanside,3480 Marron Rd,https://www.yelp.com/biz/los-tacos-oceanside-2,4.5,5,,8.25,3.8,4,,4,3,3,2.5,4,3,5,3.6,Scott,,33.1792619,-117.2951199
Rubios UCSD,Grilled fish salmon,,,,,,,8.99,4,3.5,3,3.5,3.5,4,2,4,4,4,3.4,Tom,,33.1792619,-117.2951199
Rigoberto's Taco Shop,California,,,,,,,6.85,4,3.5,5,3.3,3,5,2,3,3.8,3.5,3.9,Scott,,33.1792619,-117.2951199
Rigoberto's Taco Shop,California,,,,,,,6.85,4,4,5,4,4,5,3.5,2,3.5,4,4,Elynn,,33.1792619,-117.2951199
El Dorado Mexican Food,California,,,,,,,7.4,3.3,5,4,4.2,3.5,2.9,3,4,4,4,4,Scott,,33.1792619,-117.2951199
El Dorado Mexican Food,California,,,,,,,7.4,3.5,4.5,4,4,3.5,3,3,2.5,4,3.8,3.8,Emily,,33.1792619,-117.2951199
Los Tacos 2,Cheese steak,,,,,,,9.95,4.2,3.5,5,3,1.5,3,2.5,3,2.2,2.5,2.8,Scott,,33.1792619,-117.2951199
Roberto's Taco Shop Hillcrest,Asada,Hillcrest,420 Robinson Ave,https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego,4,4.2,,7,3.5,4,4,2,2.5,4.5,4,3,2.9,4.5,2.8,Scott,,32.7472185,-117.161355
Roberto's Taco Shop Hillcrest,California Surf and Turf,,,,,,,9,3,3.5,4,4,4,4.5,4.5,2,3.5,4,4,Richard,,32.7472185,-117.161355
Roberto's Taco Shop Hillcrest,California,,,,,,,7,3.5,3,3,2,2,3,2,3,2,3,2.2,Tom,,32.7472185,-117.161355
Burros and Fries,Shrimp california,,,,,,,6.99,4,3,4,4,2.5,2.5,3,3,3,5,3,Emily,too many fries. Not great,32.7472185,-117.161355
Burros and Fries,California,,,,,,,7.19,3.5,3.5,4.5,3.5,3.5,3,3.5,4,3.5,5,3.8,Scott,,32.7472185,-117.161355
Taco Stand Encinitas ,California,,,,,,,7.89,4,3,,4.5,4,4.5,4.5,4.5,4.8,3.3,4.7,Scott,,32.7472185,-117.161355
Taco Stand Encinitas,California,,,,,,,7.89,4,3,,4,4,4.5,4,4.5,4.5,5,4.5,Emily,,32.7472185,-117.161355
Cotixan,California,,,,,,,6.9,4.3,3,3,3.5,3.5,3.5,3.5,3.8,4,5,3.7,Scott,,32.7472185,-117.161355
Vallarta Express,Surf & Turf,,,,,,,8.55,3,3,2.5,3,3,3.5,2.8,3.5,2.8,1.5,3,Scott,,32.7472185,-117.161355
Vallarta Express,California,,,,,,,7.8,2.5,3,2,3.5,3,3,4,3,3.8,4.5,3.5,Emily,,32.7472185,-117.161355
Caliente Mexican Food,carne asada ,Sorrento Valley,11815 Sorrento Valley Rd,https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,,5.56,2.5,2.5,3,2.5,3.5,4.5,4.5,3.7,3.3,4.5,3.5,Scott,,32.9161974,-117.2367235
Caliente Mexican Food,carne asada ,,,,,,,5.56,4,4,4,4,3,4,2,4,3,3,4,Chris G,,32.9161974,-117.2367235
Caliente Mexican Food,fried fish,,,,,,,5.56,3.5,3.5,3,,3.5,3,4,4.5,3.5,4,3.5,Xi,,32.9161974,-117.2367235
Caliente Mexican Food,California,,,,,,,6.47,4,1,2,2,2,3,3,1,2,3,2,Erik K,,32.9161974,-117.2367235
Burrito Factory,Steak everything ,Austin,2025 Guadalupe St,https://www.yelp.com/biz/burrito-factory-austin,4.5,4.8,,7.35,3.5,3.2,3,3.5,3.5,3,3.3,3,3.8,2,3.5,Scott,,32.7038841,-117.1454696
Taco Villa,Carne asada,,,,,,,6.99,3,3,4.5,2,3,2.5,4,2,2,4,2,Richard,,32.7038841,-117.1454696
Taco VIlla,California,,,,,,,6.99,4,4,,3.5,3.5,3.5,3.5,3.5,3.5,5,3.7,Scott,,32.7038841,-117.1454696
Los Tacos 2,Local,,,,,,,8.5,3.8,4,4.5,3,4,3,2.5,3.5,3.5,3,4,Scott,,32.7038841,-117.1454696
Los Tacos 2,Local,,,,,,,8.5,4,4,4,3.75,4,3.5,3.5,4,5,3.5,4,Emily,,32.7038841,-117.1454696
Valentines Mexican Food,Carne asada,,,,,,,6.75,4,4,4.5,3.5,3.5,4.5,4.5,3,3.5,4,3.9,Scott,,32.7038841,-117.1454696
Valentines Mexican Food,California,,,,,,,7.9,4,4,5,5,5,5,5,5,4,3.5,4.8,Simon,,32.7038841,-117.1454696
Vallarta Express,California,,,,,,,8.35,4.5,3,3,4,3,4,2.5,4,4.5,4,4.1,Scott,,32.7038841,-117.1454696
Roberto's Taco Shop Hillcrest,Golden State,,,,,,,25,4,3.8,4.4,4,3.8,4,4,4,4,5,4.2,Scott,Good. but just get a regular Cali.,32.7038841,-117.1454696
Roberto's Taco Shop Hillcrest,California,,,,,,,7,4,4.5,5,4,4,4,3.7,3.8,4.6,4.8,4.2,Simon,,32.7038841,-117.1454696
Kotija Jr,California,Del Mar,2668 Del Mar Heights Rd,https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,4,4.2,,6.99,4,4,5,3.5,3.8,3,2.5,3.3,4,5,3.7,Scott,,32.9497632,-117.246375
Kotija Jr,Steak fajitas,,,,,,,7.1,3,3.5,5,4,4,4.5,4.75,3.75,4,5,4.2,Emily,,32.9497632,-117.246375
El Rey Moro,Hashbrown,,,,,,,6.47,4,3,3,2,2.5,1.5,2.5,2.5,3,5,3.2,Scott,,32.9497632,-117.246375
El Rey Moro,Hashbrown,,,,,,,8.94,3.5,2.5,3.5,3.5,3.5,3.5,4,3,3.5,4.5,3.8,Emily,,32.9497632,-117.246375
Taco Villa,Carnitas,,,,,,,5.99,2,2,2.5,4,3,4,3.5,3,3,5,3.8,Scott,,32.9497632,-117.246375
Taco Villa,Carne asada,,,,,,,6.99,3.5,4,4,4,4.5,4,3.5,4,4,4,4.3,Nuttida,,32.9497632,-117.246375
Los Tacos,Local,,,,,,,8.5,3.5,3.5,4,4.5,4,3,4,3.5,4.5,5,4.3,Scott,,32.9497632,-117.246375
Los Tacos,Local,,,,,,,8.5,3.5,4,4,4,4.5,4.2,4.5,4,4.5,4.8,4.5,Emily,,32.9497632,-117.246375
Rigoberto's Taco Shop,California ,,,,,,,6.85,3.5,3,4.5,3.8,3.8,4,3.5,3.5,4,3,4.1,Scott,,32.9497632,-117.246375
Rigoberto's Taco Shop,California ,,,,,,,6.85,3.5,3,4.5,4,4,4.5,3,4,4,3.5,4.25,Sage,,32.9497632,-117.246375
Burrito Box,Steak with guacamole,,,,,,,11.5,3.5,2,2,4,3.5,3,4.5,3.5,4,2,3.5,Scott,Maybe a little better than chipotle. Or at least more authentic.,32.9497632,-117.246375
Taco Stand,California ,,,,,,,7.89,4,4,3,4,4,3,4,3.5,4.3,4.5,4.2,Scott,,32.9497632,-117.246375
Taco Stand,California ,,,,,,,7.89,5,5,5,5,5,4,4,5,5,3,4.5,Ben S,,32.9497632,-117.246375
